ECR,Player,Kickoff,Opp,This Week,Last Week,Difference
-,Sam Howell (SEA - QB),Sun 1:00PM,@ATL,"$6,000","$6,000",0
-,Gunner Olszewski (NYG - WR),Sun 1:00PM,PHI,"$4,000","$4,000",0
120,Sam LaPorta (DET - TE),Sun 1:00PM,@MIN,"$6,500","$6,300",+200
194,Tyler Goodson (IND - RB),Sun 1:00PM,MIA,"$5,100","$4,700",+400
400,Jha'Quan Jackson (TEN - WR),Sun 1:00PM,@BUF,"$4,000","$4,000",0
246,Tyjae Spears (TEN - RB),Sun 1:00PM,@BUF,"$5,600","$5,700",-100
387,Kenny McIntosh (SEA - RB),Sun 1:00PM,@ATL,"$4,200","$4,300",-100
89,George Pickens (PIT - WR),Sun 8:20PM,NYJ,"$6,000","$6,200",-200
309,Treylon Burks (TEN - WR),Sun 1:00PM,@BUF,"$4,600","$4,500",+100
-,Keilan Robinson (JAC - RB),Sun 9:30AM,NE,"$4,000","$4,000",0
230,Dontayvion Wicks (GB - WR),Sun 1:00PM,HOU,"$5,600","$6,000",-400
-,Treyton Welch (NO - TE),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Dayton Wade (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
-,Tahj Washington (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
-,Jalon Calhoun (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
301,Malik Washington (MIA - WR),Sun 1:00PM,@IND,"$4,100",-,-
-,Evan Hull (IND - RB),Sun 1:00PM,MIA,"$4,000","$4,200",-200
-,Terique Owens (SF - WR),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Rashee Rice (KC - WR),Sun 4:25PM,@SF,"$4,000",-,-
105,Rhamondre Stevenson (NE - RB),Sun 9:30AM,@JAC,"$6,800","$6,800",0
64,Spencer Rattler (NO - QB),Thu 8:15PM,DEN,"$7,100","$6,000","+1,100"
77,Jameson Williams (DET - WR),Sun 1:00PM,@MIN,"$6,500","$6,300",+200
277,Cade Stover (HOU - TE),Sun 1:00PM,@GB,"$4,200","$4,200",0
95,DeMario Douglas (NE - WR),Sun 9:30AM,@JAC,"$5,000","$5,000",0
-,Luke Benson (LAC - TE),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Tayvion Robinson (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
398,Casey Washington (ATL - WR),Sun 1:00PM,SEA,"$4,000","$4,000",0
-,Isaiah Williams (DET - WR),Sun 1:00PM,@MIN,"$4,000","$4,000",0
158,Jaylen Warren (PIT - RB),Sun 8:20PM,NYJ,"$5,500","$5,300",+200
331,Skyy Moore (KC - WR),Sun 4:25PM,@SF,"$4,300",-,-
-,Jared Wayne (HOU - WR),Sun 1:00PM,@GB,"$4,000","$4,000",0
-,John Rhys Plumlee (JAC - QB),Sun 9:30AM,NE,"$6,000","$6,000",0
240,Jonathan Mingo (CAR - WR),Sun 4:05PM,@WAS,"$5,200","$5,300",-100
63,Zay Flowers (BAL - WR),Mon 8:15PM,@TB,"$7,300","$7,200",+100
-,Mason Fairchild (NO - TE),Thu 8:15PM,DEN,"$4,000","$4,000",0
-,Dylan Leonard (DEN - TE),Thu 8:15PM,@NO,"$4,000","$4,000",0
329,Xavier Gipson (NYJ - WR),Sun 8:20PM,@PIT,"$4,200","$4,200",0
-,Lincoln Victor (DEN - WR),Thu 8:15PM,@NO,"$4,000","$4,000",0
-,Xavier White (IND - WR),Sun 1:00PM,MIA,"$4,000","$4,000",0
-,Isaac Rex (LAC - TE),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Joshua Cephus (JAC - WR),Sun 9:30AM,NE,"$4,000","$4,000",0
-,Isaiah Washington (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
44,Drake London (ATL - WR),Sun 1:00PM,SEA,"$7,500","$7,400",+100
385,Jamari Thrash (CLE - WR),Sun 1:00PM,CIN,"$4,000","$4,000",0
-,Michael Wiley (WAS - RB),Sun 4:05PM,CAR,"$4,000","$4,000",0
-,Xavier Smith (LAR - WR),Sun 4:05PM,LV,"$4,100",-,-
-,Luke Musgrave (GB - TE),Sun 1:00PM,HOU,"$4,800","$4,900",-100
-,Neal Johnson (MIN - TE),Sun 1:00PM,DET,"$4,000",-,-
-,Hayden Rucci (MIA - TE),Sun 1:00PM,@IND,"$4,000",-,-
-,Isaiah Spiller (LAC - RB),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Ainias Smith (PHI - WR),Sun 1:00PM,@NYG,"$4,000","$4,000",0
-,David Bell (CLE - WR),Sun 1:00PM,CIN,"$4,000","$4,000",0
110,Xavier Legette (CAR - WR),Sun 4:05PM,@WAS,"$5,900","$5,900",0
-,George Holani (SEA - RB),Sun 1:00PM,@ATL,"$4,000","$4,000",0
236,Xavier Weaver (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
368,Jacob Cowing (SF - WR),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Cornelius Johnson (GB - WR),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Gavin Hardison (MIA - QB),Sun 1:00PM,@IND,"$6,000",-,-
-,Terrell Jennings (NE - RB),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Ty James (MIN - WR),Sun 1:00PM,DET,"$4,000",-,-
-,Shaquan Davis (PIT - WR),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Isaiah Wooden (LAC - WR),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Isaiah Winstead (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Bryce Young (CAR - QB),Sun 4:05PM,@WAS,"$6,000","$6,000",0
-,Jase McClellan (ATL - RB),Sun 1:00PM,SEA,"$4,000","$4,000",0
168,Kayshon Boutte (NE - WR),Sun 9:30AM,@JAC,"$4,600","$4,600",0
-,Kendall Milton (CIN - RB),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,MarShawn Lloyd (GB - RB),Sun 1:00PM,HOU,"$4,000","$4,000",0
324,Johnny Wilson (PHI - WR),Sun 1:00PM,@NYG,"$4,600","$4,800",-200
203,Xavier Hutchinson (HOU - WR),Sun 1:00PM,@GB,"$5,300","$4,900",+400
254,Jalen McMillan (TB - WR),Mon 8:15PM,BAL,"$4,900","$4,500",+400
270,Marvin Mims Jr. (DEN - WR),Thu 8:15PM,@NO,"$4,200","$4,200",0
119,Quentin Johnston (LAC - WR),Mon 9:00PM,@ARI,"$5,800","$5,800",0
251,Kendre Miller (NO - RB),Thu 8:15PM,DEN,"$4,000","$4,000",0
170,Ja'Lynn Polk (NE - WR),Sun 9:30AM,@JAC,"$4,700","$4,700",0
-,Atlanta Falcons (ATL - DST),Sun 1:00PM,SEA,"$3,400","$3,800",-400
-,Buffalo Bills (BUF - DST),Sun 1:00PM,TEN,"$5,000","$4,400",+600
-,Cincinnati Bengals (CIN - DST),Sun 1:00PM,@CLE,"$4,900","$4,600",+300
-,Cleveland Browns (CLE - DST),Sun 1:00PM,CIN,"$3,500","$3,600",-100
-,Denver Broncos (DEN - DST),Thu 8:15PM,@NO,"$4,500","$4,700",-200
-,Detroit Lions (DET - DST),Sun 1:00PM,@MIN,"$3,800","$3,900",-100
-,Green Bay Packers (GB - DST),Sun 1:00PM,HOU,"$4,400","$4,500",-100
-,Tennessee Titans (TEN - DST),Sun 1:00PM,@BUF,"$3,100","$4,300","-1,200"
-,Indianapolis Colts (IND - DST),Sun 1:00PM,MIA,"$4,300","$4,000",+300
-,Kansas City Chiefs (KC - DST),Sun 4:25PM,@SF,"$4,000",-,-
-,Las Vegas Raiders (LV - DST),Sun 4:05PM,@LAR,"$3,300","$4,000",-700
-,Los Angeles Rams (LAR - DST),Sun 4:05PM,LV,"$4,100",-,-
-,Miami Dolphins (MIA - DST),Sun 1:00PM,@IND,"$3,600",-,-
-,Minnesota Vikings (MIN - DST),Sun 1:00PM,DET,"$3,900",-,-
-,New England Patriots (NE - DST),Sun 9:30AM,@JAC,"$3,200","$3,200",0
-,New Orleans Saints (NO - DST),Thu 8:15PM,DEN,"$4,400","$4,100",+300
-,New York Giants (NYG - DST),Sun 1:00PM,PHI,"$3,200","$3,100",+100
-,New York Jets (NYJ - DST),Sun 8:20PM,@PIT,"$4,800","$4,800",0
-,Philadelphia Eagles (PHI - DST),Sun 1:00PM,@NYG,"$4,700","$4,800",-100
-,Arizona Cardinals (ARI - DST),Mon 9:00PM,LAC,"$3,800","$3,400",+400
-,Pittsburgh Steelers (PIT - DST),Sun 8:20PM,NYJ,"$4,500","$4,900",-400
-,Los Angeles Chargers (LAC - DST),Mon 9:00PM,@ARI,"$3,600","$4,400",-800
-,San Francisco 49ers (SF - DST),Sun 4:25PM,KC,"$4,000","$4,300",-300
-,Seattle Seahawks (SEA - DST),Sun 1:00PM,@ATL,"$4,200","$3,900",+300
-,Tampa Bay Buccaneers (TB - DST),Mon 8:15PM,BAL,"$3,700","$3,700",0
-,Washington Commanders (WAS - DST),Sun 4:05PM,CAR,"$4,600","$3,500","+1,100"
-,Carolina Panthers (CAR - DST),Sun 4:05PM,@WAS,"$3,000","$3,000",0
-,Jacksonville Jaguars (JAC - DST),Sun 9:30AM,NE,"$3,900","$4,100",-200
-,Baltimore Ravens (BAL - DST),Mon 8:15PM,@TB,"$4,100","$4,200",-100
-,Houston Texans (HOU - DST),Sun 1:00PM,@GB,"$3,700","$5,000","-1,300"
-,Ellis Merriweather (GB - RB),Sun 1:00PM,HOU,"$4,000","$4,000",0
177,Kimani Vidal (LAC - RB),Mon 9:00PM,@ARI,"$5,000","$4,000","+1,000"
70,Tank Bigsby (JAC - RB),Sun 9:30AM,NE,"$5,800","$6,000",-200
186,Theo Johnson (NYG - TE),Sun 1:00PM,PHI,"$4,900","$4,900",0
-,Mitchell Tinsley (WAS - WR),Sun 4:05PM,CAR,"$4,000","$4,000",0
-,Malachi Corley (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
81,Jordan Addison (MIN - WR),Sun 1:00PM,DET,"$6,300",-,-
-,Israel Abanikanda (NYJ - RB),Sun 8:20PM,@PIT,"$4,000","$4,000",0
79,Tank Dell (HOU - WR),Sun 1:00PM,@GB,"$7,000","$6,700",+300
92,Josh Downs (IND - WR),Sun 1:00PM,MIA,"$6,400","$6,100",+300
37,Anthony Richardson (IND - QB),Sun 1:00PM,MIA,"$7,400","$7,300",+100
47,Jahmyr Gibbs (DET - RB),Sun 1:00PM,@MIN,"$7,800","$7,800",0
84,Jaxon Smith-Njigba (SEA - WR),Sun 1:00PM,@ATL,"$6,100","$6,100",0
10,C.J. Stroud (HOU - QB),Sun 1:00PM,@GB,"$8,400","$8,200",+200
-,Michael Pratt (TB - QB),Mon 8:15PM,BAL,"$6,000","$6,000",0
310,Adam Trautman (DEN - TE),Thu 8:15PM,@NO,"$4,500","$4,500",0
338,Kristian Wilkerson (LV - WR),Sun 4:05PM,@LAR,"$4,000","$4,000",0
-,Mason Kinsey (TEN - WR),Sun 1:00PM,@BUF,"$4,000","$4,000",0
-,James Robinson (NO - RB),Thu 8:15PM,DEN,"$4,100","$4,400",-300
-,Zach Evans (LAR - RB),Sun 4:05PM,LV,"$4,000",-,-
88,Ladd McConkey (LAC - WR),Mon 9:00PM,@ARI,"$5,900","$5,800",+100
-,Marcus Rosemy (PHI - WR),Sun 1:00PM,@NYG,"$4,000","$4,000",0
272,Darnell Washington (PIT - TE),Sun 8:20PM,NYJ,"$4,500","$4,800",-300
351,Jermaine Burton (CIN - WR),Sun 1:00PM,@CLE,"$4,700","$4,400",+300
-,Daijun Edwards (PIT - RB),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Emani Bailey (KC - RB),Sun 4:25PM,@SF,"$4,000",-,-
-,Keaton Mitchell (BAL - RB),Mon 8:15PM,@TB,"$4,000","$4,000",0
395,Brenden Rice (LAC - WR),Mon 9:00PM,@ARI,"$4,000","$4,100",-100
-,Rakim Jarrett (TB - WR),Mon 8:15PM,BAL,"$4,000","$4,000",0
-,DeWayne McBride (MIN - RB),Sun 1:00PM,DET,"$4,000",-,-
24,Bijan Robinson (ATL - RB),Sun 1:00PM,SEA,"$8,200","$8,500",-300
-,Danny Gray (PHI - WR),Sun 1:00PM,@NYG,"$4,000","$4,000",0
189,Sean Tucker (TB - RB),Mon 8:15PM,BAL,"$5,200","$4,200","+1,000"
328,Ben Sinnott (WAS - TE),Sun 4:05PM,CAR,"$4,100","$4,200",-100
375,Rasheen Ali (BAL - RB),Mon 8:15PM,@TB,"$4,000","$4,000",0
305,Parker Washington (JAC - WR),Sun 9:30AM,NE,"$4,600","$4,500",+100
191,Rachaad White (TB - RB),Mon 8:15PM,BAL,"$6,300","$6,300",0
291,AJ Barner (SEA - TE),Sun 1:00PM,@ATL,"$4,300","$4,400",-100
188,Blake Corum (LAR - RB),Sun 4:05PM,LV,"$4,700",-,-
359,Tip Reiman (ARI - TE),Mon 9:00PM,LAC,"$4,100","$4,200",-100
348,Roman Wilson (PIT - WR),Sun 8:20PM,NYJ,"$4,100","$4,200",-100
397,Jaheim Bell (NE - TE),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Jason Brownlee (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Javon Baker (NE - WR),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Dillon Johnson (CAR - RB),Sun 4:05PM,@WAS,"$4,000","$4,000",0
307,Malik Heath (GB - WR),Sun 1:00PM,HOU,"$4,300","$4,700",-400
-,Tulu Griffin (CLE - WR),Sun 1:00PM,CIN,"$4,000","$4,000",0
60,De'Von Achane (MIA - RB),Sun 1:00PM,@IND,"$6,900",-,-
-,Michael Mayer (LV - TE),Sun 4:05PM,@LAR,"$4,200","$4,400",-200
287,Jalin Hyatt (NYG - WR),Sun 1:00PM,PHI,"$4,300","$4,200",+100
-,Jabari Small (TEN - RB),Sun 1:00PM,@BUF,"$4,000","$4,000",0
396,Frank Gore Jr. (BUF - RB),Sun 1:00PM,TEN,"$4,000","$4,000",0
-,Jordan Murray (ARI - TE),Mon 9:00PM,LAC,"$4,000","$4,000",0
-,Bailey Zappe (KC - QB),Sun 4:25PM,@SF,"$6,000",-,-
-,Raleigh Webb (TB - WR),Mon 8:15PM,BAL,"$4,000","$4,000",0
190,Trey Benson (ARI - RB),Mon 9:00PM,LAC,"$4,400","$4,500",-100
22,Andy Dalton (CAR - QB),Sun 4:05PM,@WAS,"$7,300","$7,100",+200
-,Tyrod Taylor (NYJ - QB),Sun 8:20PM,@PIT,"$6,000","$6,000",0
124,Dalton Kincaid (BUF - TE),Sun 1:00PM,TEN,"$6,300","$6,100",+200
167,Jaleel McLaughlin (DEN - RB),Thu 8:15PM,@NO,"$5,000","$5,200",-200
-,Chris Blair (ATL - WR),Sun 1:00PM,SEA,"$4,000","$4,000",0
-,Nick Bellore (WAS - RB),Sun 4:05PM,CAR,"$4,000","$4,000",0
-,Zach Davidson (BUF - TE),Sun 1:00PM,TEN,"$4,000","$4,000",0
-,Mike Strachan (CAR - WR),Sun 4:05PM,@WAS,"$4,000","$4,000",0
-,Bernhard Seikovits (ARI - TE),Mon 9:00PM,LAC,"$4,000","$4,000",0
-,Nate McCrary (GB - RB),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Shane Zylstra (DET - TE),Sun 1:00PM,@MIN,"$4,000","$4,000",0
-,E.J. Jenkins (PHI - TE),Sun 1:00PM,@NYG,"$4,000","$4,000",0
75,Brian Thomas Jr. (JAC - WR),Sun 9:30AM,NE,"$6,300","$6,500",-200
38,Malik Nabers (NYG - WR),Sun 1:00PM,PHI,"$8,300","$8,000",+300
225,Adonai Mitchell (IND - WR),Sun 1:00PM,MIA,"$4,900","$5,000",-100
76,Brock Bowers (LV - TE),Sun 4:05PM,@LAR,"$7,000","$6,700",+300
175,Troy Franklin (DEN - WR),Thu 8:15PM,@NO,"$5,000","$4,600",+400
198,Jaylen Wright (MIA - RB),Sun 1:00PM,@IND,"$5,200",-,-
15,Drake Maye (NE - QB),Sun 9:30AM,@JAC,"$6,000","$6,000",0
286,Will Shipley (PHI - RB),Sun 1:00PM,@NYG,"$4,300","$4,400",-100
-,J.J. McCarthy (MIN - QB),Sun 1:00PM,DET,"$6,000",-,-
130,Marvin Harrison Jr. (ARI - WR),Mon 9:00PM,LAC,"$7,000","$7,000",0
82,Bucky Irving (TB - RB),Mon 8:15PM,BAL,"$6,400","$5,700",+700
-,Je'Quan Burton (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
-,Michael Bandy (DEN - WR),Thu 8:15PM,@NO,"$4,000","$4,000",0
-,Izaiah Gathings (KC - TE),Sun 4:25PM,@SF,"$4,000",-,-
-,Lincoln Sefcik (NYJ - TE),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Tejhaun Palmer (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
217,Carson Steele (KC - RB),Sun 4:25PM,@SF,"$4,900",-,-
388,Devontez Walker (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
220,Audric Estime (DEN - RB),Thu 8:15PM,@NO,"$4,100","$4,000",+100
141,Keon Coleman (BUF - WR),Sun 1:00PM,TEN,"$5,900","$5,400",+500
-,Grant DuBose (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
157,Braelon Allen (NYJ - RB),Sun 8:20PM,@PIT,"$6,000","$6,200",-200
-,Daylen Baldwin (ARI - WR),Mon 9:00PM,LAC,"$4,000","$4,000",0
285,Jonathon Brooks (CAR - RB),Sun 4:05PM,@WAS,"$5,000","$5,000",0
93,Xavier Worthy (KC - WR),Sun 4:25PM,@SF,"$7,300",-,-
199,Ja'Tavion Sanders (CAR - TE),Sun 4:05PM,@WAS,"$4,900","$4,800",+100
384,Isaiah Davis (NYJ - RB),Sun 8:20PM,@PIT,"$4,600","$4,200",+400
-,Zach Heins (LAC - TE),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Jadon Janke (MIA - WR),Sun 1:00PM,@IND,"$4,000",-,-
-,Jaxon Janke (HOU - WR),Sun 1:00PM,@GB,"$4,000","$4,000",0
125,Tucker Kraft (GB - TE),Sun 1:00PM,HOU,"$5,800","$6,000",-200
208,Pierre Strong Jr. (CLE - RB),Sun 1:00PM,CIN,"$4,800","$4,200",+600
-,Tanner McLachlan (CIN - TE),Sun 1:00PM,@CLE,"$4,000","$4,000",0
-,Nikola Kalinic (LAR - TE),Sun 4:05PM,LV,"$4,000",-,-
114,DeAndre Hopkins (TEN - WR),Sun 1:00PM,@BUF,"$5,600","$5,800",-200
-,Cody Schrader (LAR - RB),Sun 4:05PM,LV,"$4,000",-,-
-,Joseph Scates (JAC - WR),Sun 9:30AM,NE,"$4,000","$4,000",0
-,Hamze El-Zayat (NYJ - WR),Sun 8:20PM,@PIT,"$4,000","$4,000",0
-,Reggie Brown (KC - WR),Sun 4:25PM,@SF,"$4,000",-,-
292,Sione Vaki (DET - RB),Sun 1:00PM,@MIN,"$4,000","$4,000",0
-,Latreal Jones (TB - WR),Mon 8:15PM,BAL,"$4,000","$4,000",0
102,Christian Watson (GB - WR),Sun 1:00PM,HOU,"$5,900","$5,700",+200
-,Dareke Young (SEA - WR),Sun 1:00PM,@ATL,"$4,000","$4,000",0
-,Lance McCutcheon (PIT - WR),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Dee Williams (SEA - WR),Sun 1:00PM,@ATL,"$4,000","$4,000",0
256,Julius Chestnut (TEN - RB),Sun 1:00PM,@BUF,"$4,500","$4,000",+500
386,Tanner Conner (MIA - TE),Sun 1:00PM,@IND,"$4,000",-,-
-,Kaden Davis (DEN - WR),Thu 8:15PM,@NO,"$4,000","$4,000",0
373,Tyreik McAllister (LV - WR),Sun 4:05PM,@LAR,"$4,300","$4,000",+300
303,Aaron Shampklin (PIT - RB),Sun 8:20PM,NYJ,"$4,200","$4,000",+200
-,Dennis Houston (NYG - WR),Sun 1:00PM,PHI,"$4,000","$4,000",0
-,Rashid Shaheed (NO - WR),Thu 8:15PM,DEN,"$6,800","$6,400",+400
-,Steven Stilianos (TEN - TE),Sun 1:00PM,@BUF,"$4,000","$4,000",0
-,Ramon Jefferson (TB - RB),Mon 8:15PM,BAL,"$4,000","$4,000",0
-,Qadir Ismail (BAL - WR),Mon 8:15PM,@TB,"$4,000","$4,000",0
325,Nate Adkins (DEN - TE),Thu 8:15PM,@NO,"$4,200","$4,200",0
-,Dante Miller (NYG - RB),Sun 1:00PM,PHI,"$4,000","$4,000",0
-,Carlos Washington Jr. (ATL - RB),Sun 1:00PM,SEA,"$4,000","$4,000",0
381,Chris Manhertz (NYG - TE),Sun 1:00PM,PHI,"$4,000","$4,000",0
-,Ayir Asante (NYG - WR),Sun 1:00PM,PHI,"$4,000","$4,000",0
-,Leon Johnson III (LAC - WR),Mon 9:00PM,@ARI,"$4,000","$4,000",0
153,Andrei Iosivas (CIN - WR),Sun 1:00PM,@CLE,"$5,500","$5,300",+200
-,Colton Dowell (TEN - WR),Sun 1:00PM,@BUF,"$4,000","$4,000",0
-,Keilahn Harris (PIT - WR),Sun 8:20PM,NYJ,"$4,000","$4,000",0
-,Dresser Winn (LAR - QB),Sun 4:05PM,LV,"$6,000",-,-
-,Patrick Murtagh (JAC - TE),Sun 9:30AM,NE,"$4,000","$4,000",0
-,TJ Luther (GB - WR),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Jacob Saylors (CLE - RB),Sun 1:00PM,CIN,"$4,000","$4,000",0
347,Julian Hill (MIA - TE),Sun 1:00PM,@IND,"$4,100",-,-
161,Emanuel Wilson (GB - RB),Sun 1:00PM,HOU,"$5,400","$5,200",+200
-,Elijah Dotson (LAC - RB),Mon 9:00PM,@ARI,"$4,000","$4,000",0
-,Tanner Taula (TB - TE),Mon 8:15PM,BAL,"$4,000","$4,000",0
-,Rory Starkey Jr. (GB - WR),Sun 1:00PM,HOU,"$4,000","$4,000",0
-,Shawn Bowman (JAC - TE),Sun 9:30AM,NE,"$4,000","$4,000",0
-,JaQuae Jackson (NE - WR),Sun 9:30AM,@JAC,"$4,000","$4,000",0
-,Mason Pline (SF - TE),Sun 4:25PM,KC,"$4,000","$4,000",0
-,Louis Rees-Zammit (JAC - RB),Sun 9:30AM,NE,"$4,000","$4,000",0
295,Dylan Laube (LV - RB),Sun 4:05PM,@LAR,"$4,000","$4,000",0
