Player,FPTS,ROST,Year,Week
Mack Hollins (BUF),0.0,0.8%,2017,1
Jehu Chesson (FA),0.0,0.0%,2017,1
Josh Reynolds (JAC),0.0,4.4%,2017,1
Stacy Coley (FA),0.0,0.0%,2017,1
JuJu Smith-Schuster (KC),0.0,3.8%,2017,1
Chad Hansen (FA),0.0,0.0%,2017,1
Curtis Samuel (BUF),0.0,10.4%,2017,1
Amara Darboh (FA),0.0,0.0%,2017,1
Johnny Holton (FA),0.0,0.0%,2017,1
Marcus Johnson (FA),0.0,0.0%,2017,1
Trevor Davis (FA),0.0,0.0%,2017,1
Charone Peake (FA),0.0,0.0%,2017,1
Chris Moore (WAS),0.0,0.0%,2017,1
Demarcus Robinson (LAR),0.0,26.0%,2017,1
Cody Core (FA),0.0,0.0%,2017,1
Alex Erickson (FA),0.0,0.0%,2017,1
Kalif Raymond (DET),0.0,0.9%,2017,1
Tavon Austin (FA),-0.2,0.1%,2017,1
Jamison Crowder (WAS),-0.6,0.1%,2017,1
Michael Crabtree (FA),26.0,0.0%,2017,2
Jermaine Kearse (FA),18.4,0.0%,2017,2
Emmanuel Sanders (FA),18.2,0.0%,2017,2
J.J. Nelson (FA),18.0,0.0%,2017,2
Davante Adams (NYJ),15.9,98.9%,2017,2
Martavis Bryant (FA),15.8,0.0%,2017,2
Mike Evans (TB),15.3,98.6%,2017,2
Alshon Jeffery (FA),15.2,0.0%,2017,2
Allen Hurns (FA),14.2,0.0%,2017,2
Brandon Coleman (FA),14.2,0.0%,2017,2
Chris Hogan (FA),13.8,0.0%,2017,2
Dez Bryant (FA),11.9,2.6%,2017,2
Deonte Thompson (FA),11.7,0.0%,2017,2
Julio Jones (FA),10.8,0.3%,2017,2
Keenan Allen (CHI),10.0,84.6%,2017,2
Rashard Higgins (FA),9.9,0.0%,2017,2
Kenny Stills (FA),9.7,0.0%,2017,2
Jeremy Maclin (FA),9.1,0.0%,2017,2
Michael Thomas (FA),8.9,0.7%,2017,2
Marvin Jones Jr. (FA),8.7,0.0%,2017,2
DeVante Parker (FA),8.5,0.0%,2017,2
Mohamed Sanu Sr. (FA),8.5,0.0%,2017,2
Paul Richardson Jr. (FA),7.9,0.0%,2017,2
Kelvin Benjamin (FA),7.7,0.1%,2017,2
JuJu Smith-Schuster (KC),7.6,3.8%,2017,2
Marqise Lee (FA),7.6,0.0%,2017,2
Phillip Dorsett II (ATL),7.5,0.0%,2017,2
Jaron Brown (FA),7.3,0.0%,2017,2
DeAndre Hopkins (KC),7.3,81.1%,2017,2
Demaryius Thomas (FA),7.1,0.1%,2017,2
Ryan Grant (FA),7.1,0.0%,2017,2
Jarvis Landry (FA),7.1,7.1%,2017,2
Randall Cobb (FA),7.0,0.0%,2017,2
Kendall Wright (FA),6.9,0.0%,2017,2
Nelson Agholor (BAL),6.9,0.4%,2017,2
Devin Funchess (FA),6.8,0.0%,2017,2
A.J. Green (FA),6.7,0.6%,2017,2
Torrey Smith (FA),6.6,0.0%,2017,2
Alex Erickson (FA),6.4,0.0%,2017,2
Tyler Lockett (SEA),6.4,46.2%,2017,2
Antonio Brown (FA),6.2,1.3%,2017,2
Taywan Taylor (FA),5.8,0.0%,2017,2
Chris Conley (SF),5.5,0.1%,2017,2
Tyrell Williams (FA),5.4,0.0%,2017,2
Josh Bellamy (FA),5.1,0.0%,2017,2
T.Y. Hilton (FA),4.9,1.6%,2017,2
Tyreek Hill (MIA),4.9,99.2%,2017,2
Jamison Crowder (WAS),4.7,0.1%,2017,2
Doug Baldwin (FA),4.4,0.0%,2017,2
Brandin Cooks (DAL),4.3,25.4%,2017,2
Eli Rogers (FA),4.3,0.0%,2017,2
Rishard Matthews (FA),4.3,0.0%,2017,2
DeSean Jackson (FA),3.9,0.6%,2017,2
Odell Beckham Jr. (FA),3.6,2.6%,2017,2
Cooper Kupp (LAR),3.3,96.0%,2017,2
Cole Beasley (FA),3.3,0.0%,2017,2
Amari Cooper (BUF),3.3,79.7%,2017,2
Laquon Treadwell (IND),3.3,0.0%,2017,2
Eric Decker (FA),3.2,0.6%,2017,2
Mack Hollins (BUF),3.2,0.8%,2017,2
Kamar Aiken (FA),3.1,0.0%,2017,2
Terrelle Pryor Sr. (FA),3.1,0.0%,2017,2
Stefon Diggs (HOU),3.1,37.5%,2017,2
Sammy Watkins (FA),3.0,0.0%,2017,2
Jordan Matthews (CAR),3.0,0.0%,2017,2
Sterling Shepard (TB),3.0,6.4%,2017,2
Brandon LaFell (FA),3.0,0.0%,2017,2
Brittan Golden (FA),2.9,0.0%,2017,2
Robbie Chosen (FA),2.8,0.0%,2017,2
Josh Reynolds (JAC),2.8,4.4%,2017,2
Tanner Gentry (FA),2.7,0.0%,2017,2
Ricardo Louis (FA),2.7,0.0%,2017,2
Albert Wilson (FA),2.6,0.0%,2017,2
Pierre Garcon (FA),2.6,0.0%,2017,2
Marquise Goodwin (FA),2.6,0.0%,2017,2
Golden Tate (FA),2.5,0.0%,2017,2
Ted Ginn Jr. (FA),2.4,0.0%,2017,2
Adam Thielen (CAR),2.4,70.1%,2017,2
Geronimo Allison (FA),2.4,0.0%,2017,2
Cody Latimer (FA),2.2,0.0%,2017,2
Taylor Gabriel (FA),2.1,0.1%,2017,2
Larry Fitzgerald (FA),2.1,0.2%,2017,2
Justin Hardy (FA),1.9,0.0%,2017,2
Brice Butler (FA),1.8,0.0%,2017,2
Donte Moncrief (FA),1.8,0.0%,2017,2
Adam Humphries (FA),1.8,0.0%,2017,2
Zay Jones (ARI),1.8,1.8%,2017,2
Andre Holmes (FA),1.8,0.0%,2017,2
Terrance Williams (FA),1.7,0.0%,2017,2
Brandon Marshall (FA),1.7,2.6%,2017,2
Amara Darboh (FA),1.6,0.0%,2017,2
Tommylee Lewis (FA),1.6,0.0%,2017,2
Chad Williams (FA),1.5,0.0%,2017,2
Jeremy Kerley (FA),1.4,0.0%,2017,2
Roger Lewis (FA),1.3,0.0%,2017,2
Keelan Cole Sr. (FA),1.3,0.0%,2017,2
Travis Benjamin (FA),1.1,0.0%,2017,2
Braxton Miller (FA),1.0,0.0%,2017,2
Trevor Davis (FA),0.9,0.0%,2017,2
Jarius Wright (FA),0.9,0.0%,2017,2
Corey Coleman (FA),0.9,0.0%,2017,2
Tavon Austin (FA),0.8,0.1%,2017,2
Bennie Fowler III (FA),0.8,0.0%,2017,2
Robert Woods (HOU),0.8,0.7%,2017,2
Kenny Golladay (FA),0.8,4.0%,2017,2
Mike Wallace (FA),0.7,0.0%,2017,2
Curtis Samuel (BUF),0.7,10.4%,2017,2
Trent Taylor (SF),0.6,0.0%,2017,2
Russell Shepard (FA),0.6,0.0%,2017,2
Michael Campanaro (FA),0.5,0.0%,2017,2
Corey Davis (FA),0.4,0.0%,2017,2
Charone Peake (FA),0.3,0.0%,2017,2
Kenny Britt (FA),0.2,0.0%,2017,2
T.J. Jones (FA),0.0,0.0%,2017,2
Chris Matthews (FA),0.0,0.0%,2017,2
De'Anthony Thomas (FA),0.0,0.0%,2017,2
Ryan Davis (FA),0.0,0.0%,2017,2
Brian Quick (FA),0.0,0.0%,2017,2
Bernard Reedy (FA),0.0,0.0%,2017,2
Dontrelle Inman (FA),0.0,0.0%,2017,2
Jeff Janis (FA),0.0,0.0%,2017,2
James Wright (FA),0.0,0.0%,2017,2
Jordy Nelson (FA),0.0,0.1%,2017,2
Eric Weems (FA),0.0,0.0%,2017,2
Darrius Heyward-Bey (FA),0.0,0.0%,2017,2
Dwayne Harris (FA),0.0,0.0%,2017,2
Aldrick Robinson (FA),0.0,0.0%,2017,2
Arrelious Benn (FA),0.0,0.0%,2017,2
Andre Roberts (FA),0.0,0.0%,2017,2
Ryan Switzer (FA),0.0,0.0%,2017,2
Jamal Agnew (FA),0.0,0.0%,2017,2
Victor Bolden Jr. (FA),0.0,0.0%,2017,2
Isaiah McKenzie (FA),0.0,0.0%,2017,2
Josh Doctson (FA),0.0,0.0%,2017,2
Pharoh Cooper (FA),0.0,0.0%,2017,2
Vince Mayle (FA),0.0,0.0%,2017,2
Sammie Coates (FA),0.0,0.0%,2017,2
Breshad Perriman (FA),0.0,0.0%,2017,2
Ty Montgomery II (FA),0.0,0.0%,2017,2
Tre McBride III (FA),0.0,0.0%,2017,2
Jaelen Strong (FA),0.0,0.0%,2017,2
Seth Roberts (FA),0.0,0.0%,2017,2
Kaelin Clay (FA),0.0,0.0%,2017,2
Damiere Byrd (FA),0.0,0.0%,2017,2
Quan Bray (FA),0.0,0.0%,2017,2
Tanner McEvoy (FA),0.0,0.0%,2017,2
Noah Brown (WAS),0.0,3.7%,2017,2
Chris Godwin (TB),0.0,36.7%,2017,2
ArDarius Stewart (FA),0.0,0.0%,2017,2
Chad Hansen (FA),0.0,0.0%,2017,2
Max McCaffrey (FA),0.0,0.0%,2017,2
Johnny Holton (FA),0.0,0.0%,2017,2
Leonte Carroo (FA),0.0,0.0%,2017,2
Demarcus Robinson (LAR),0.0,26.0%,2017,2
Jakeem Grant Sr. (FA),0.0,0.0%,2017,2
Cody Core (FA),0.0,0.0%,2017,2
John Ross (FA),-0.8,0.0%,2017,2
Kalif Raymond (DET),-2.0,0.9%,2017,2
Stefon Diggs (HOU),29.3,37.5%,2017,3
Brandin Cooks (DAL),27.1,25.4%,2017,3
Sammy Watkins (FA),22.6,0.0%,2017,3
T.Y. Hilton (FA),21.3,1.6%,2017,3
Larry Fitzgerald (FA),20.9,0.2%,2017,3
Odell Beckham Jr. (FA),19.9,2.6%,2017,3
Sterling Shepard (TB),19.3,6.4%,2017,3
Chris Hogan (FA),18.8,0.0%,2017,3
Jordy Nelson (FA),17.2,0.1%,2017,3
A.J. Green (FA),17.1,0.6%,2017,3
Antonio Brown (FA),17.0,1.3%,2017,3
Doug Baldwin (FA),16.5,0.0%,2017,3
Robbie Chosen (FA),15.5,0.0%,2017,3
Tyreek Hill (MIA),15.0,99.2%,2017,3
Brice Butler (FA),15.0,0.0%,2017,3
Rishard Matthews (FA),14.7,0.0%,2017,3
Michael Thomas (FA),14.7,0.7%,2017,3
DeSean Jackson (FA),14.4,0.6%,2017,3
Pierre Garcon (FA),14.2,0.0%,2017,3
Taylor Gabriel (FA),13.9,0.1%,2017,3
DeVante Parker (FA),13.6,0.0%,2017,3
Geronimo Allison (FA),12.2,0.0%,2017,3
Ted Ginn Jr. (FA),11.9,0.0%,2017,3
Bruce Ellington (FA),11.8,0.0%,2017,3
Golden Tate (FA),11.8,0.0%,2017,3
Kenny Britt (FA),11.4,0.0%,2017,3
Travis Benjamin (FA),11.4,0.0%,2017,3
Josh Doctson (FA),11.2,0.0%,2017,3
Robert Woods (HOU),10.8,0.7%,2017,3
Demaryius Thomas (FA),9.8,0.1%,2017,3
Adam Thielen (CAR),9.8,70.1%,2017,3
Trent Taylor (SF),9.2,0.0%,2017,3
Julio Jones (FA),9.1,0.3%,2017,3
Paul Richardson Jr. (FA),9.0,0.0%,2017,3
Mohamed Sanu Sr. (FA),8.8,0.0%,2017,3
Jaron Brown (FA),8.7,0.0%,2017,3
Allen Hurns (FA),8.0,0.0%,2017,3
DeAndre Hopkins (KC),7.6,81.1%,2017,3
Emmanuel Sanders (FA),7.5,0.0%,2017,3
Albert Wilson (FA),7.4,0.0%,2017,3
Dez Bryant (FA),7.2,2.6%,2017,3
Brandon Coleman (FA),7.1,0.0%,2017,3
Jarius Wright (FA),6.9,0.0%,2017,3
Adam Humphries (FA),6.8,0.0%,2017,3
Mike Evans (TB),6.7,98.6%,2017,3
Andre Holmes (FA),6.6,0.0%,2017,3
Brandon Marshall (FA),6.6,2.6%,2017,3
Marqise Lee (FA),6.5,0.0%,2017,3
T.J. Jones (FA),6.3,0.0%,2017,3
Marquise Goodwin (FA),6.2,0.0%,2017,3
Keenan Allen (CHI),6.1,84.6%,2017,3
Jordan Matthews (CAR),6.1,0.0%,2017,3
Davante Adams (NYJ),6.0,98.9%,2017,3
Devin Funchess (FA),5.8,0.0%,2017,3
Alshon Jeffery (FA),5.6,0.0%,2017,3
Bennie Fowler III (FA),5.5,0.0%,2017,3
Kenny Stills (FA),5.1,0.0%,2017,3
Eric Decker (FA),4.9,0.6%,2017,3
Jarvis Landry (FA),4.8,7.1%,2017,3
Danny Amendola (FA),4.8,0.0%,2017,3
Terrance Williams (FA),4.7,0.0%,2017,3
Donte Moncrief (FA),4.4,0.0%,2017,3
Chris Godwin (TB),4.4,36.7%,2017,3
Jermaine Kearse (FA),4.2,0.0%,2017,3
Jeremy Kerley (FA),4.2,0.0%,2017,3
JuJu Smith-Schuster (KC),3.9,3.8%,2017,3
Curtis Samuel (BUF),3.6,10.4%,2017,3
Jamison Crowder (WAS),3.2,0.1%,2017,3
Ryan Grant (FA),3.1,0.0%,2017,3
Martavis Bryant (FA),3.0,0.0%,2017,3
Tyler Lockett (SEA),3.0,46.2%,2017,3
Torrey Smith (FA),2.9,0.0%,2017,3
Kaelin Clay (FA),2.8,0.0%,2017,3
Jordan Leslie (FA),2.6,0.0%,2017,3
Kenny Golladay (FA),2.5,4.0%,2017,3
Marvin Jones Jr. (FA),2.4,0.0%,2017,3
ArDarius Stewart (FA),2.4,0.0%,2017,3
Aldrick Robinson (FA),2.3,0.0%,2017,3
Tommylee Lewis (FA),2.3,0.0%,2017,3
Quan Bray (FA),2.2,0.0%,2017,3
Brittan Golden (FA),2.1,0.0%,2017,3
Nelson Agholor (BAL),2.0,0.4%,2017,3
Terrelle Pryor Sr. (FA),1.9,0.0%,2017,3
Cooper Kupp (LAR),1.7,96.0%,2017,3
Tyrell Williams (FA),1.5,0.0%,2017,3
Braxton Miller (FA),1.5,0.0%,2017,3
Taywan Taylor (FA),1.5,0.0%,2017,3
De'Anthony Thomas (FA),1.4,0.0%,2017,3
Noah Brown (WAS),1.3,3.7%,2017,3
Keelan Cole Sr. (FA),1.3,0.0%,2017,3
Andre Roberts (FA),1.2,0.0%,2017,3
Jakeem Grant Sr. (FA),1.2,0.0%,2017,3
Tyler Boyd (TEN),1.1,3.1%,2017,3
Kasen Williams (FA),1.0,0.0%,2017,3
Rashard Higgins (FA),1.0,0.0%,2017,3
Michael Campanaro (FA),1.0,0.0%,2017,3
Mike Wallace (FA),1.0,0.0%,2017,3
Ricardo Louis (FA),1.0,0.0%,2017,3
Bernard Reedy (FA),0.9,0.0%,2017,3
Deonte Thompson (FA),0.9,0.0%,2017,3
Kamar Aiken (FA),0.9,0.0%,2017,3
Demarcus Robinson (LAR),0.9,26.0%,2017,3
Chris Matthews (FA),0.8,0.0%,2017,3
Chad Williams (FA),0.8,0.0%,2017,3
Jeremy Maclin (FA),0.8,0.0%,2017,3
Kelvin Benjamin (FA),0.8,0.1%,2017,3
Michael Crabtree (FA),0.7,0.0%,2017,3
Amari Cooper (BUF),0.6,79.7%,2017,3
Roger Lewis (FA),0.6,0.0%,2017,3
Brandon LaFell (FA),0.5,0.0%,2017,3
Isaiah McKenzie (FA),0.4,0.0%,2017,3
Cole Beasley (FA),0.4,0.0%,2017,3
Ryan Switzer (FA),0.3,0.0%,2017,3
Laquon Treadwell (IND),0.2,0.0%,2017,3
Dontrelle Inman (FA),0.2,0.0%,2017,3
Cody Latimer (FA),0.0,0.0%,2017,3
Jared Abbrederis (FA),0.0,0.0%,2017,3
Ryan Davis (FA),0.0,0.0%,2017,3
Markus Wheaton (FA),0.0,0.0%,2017,3
Brian Quick (FA),0.0,0.0%,2017,3
Russell Shepard (FA),0.0,0.0%,2017,3
Josh Bellamy (FA),0.0,0.0%,2017,3
Matt Hazel (FA),0.0,0.0%,2017,3
Jeff Janis (FA),0.0,0.0%,2017,3
James Wright (FA),0.0,0.0%,2017,3
Brandon Tate (FA),0.0,0.0%,2017,3
Eric Weems (FA),0.0,0.0%,2017,3
Darrius Heyward-Bey (FA),0.0,0.0%,2017,3
Dwayne Harris (FA),0.0,0.0%,2017,3
Kendall Wright (FA),0.0,0.0%,2017,3
Arrelious Benn (FA),0.0,0.0%,2017,3
Justin Hardee Sr. (TEN),0.0,0.0%,2017,3
Jamal Agnew (FA),0.0,0.0%,2017,3
Victor Bolden Jr. (FA),0.0,0.0%,2017,3
Leonte Carroo (FA),0.0,0.0%,2017,3
Breshad Perriman (FA),0.0,0.0%,2017,3
Ty Montgomery II (FA),0.0,0.0%,2017,3
Vince Mayle (FA),0.0,0.0%,2017,3
Phillip Dorsett II (ATL),0.0,0.0%,2017,3
Justin Hardy (FA),0.0,0.0%,2017,3
Seth Roberts (FA),0.0,0.0%,2017,3
Damiere Byrd (FA),0.0,0.0%,2017,3
J.J. Nelson (FA),0.0,0.0%,2017,3
Chris Conley (SF),0.0,0.1%,2017,3
Chris Moore (WAS),0.0,0.0%,2017,3
Tanner McEvoy (FA),0.0,0.0%,2017,3
Mack Hollins (BUF),0.0,0.8%,2017,3
Zay Jones (ARI),0.0,1.8%,2017,3
Amara Darboh (FA),0.0,0.0%,2017,3
Josh Reynolds (JAC),0.0,4.4%,2017,3
Johnny Holton (FA),0.0,0.0%,2017,3
Marcus Johnson (FA),0.0,0.0%,2017,3
Trevor Davis (FA),0.0,0.0%,2017,3
Charone Peake (FA),0.0,0.0%,2017,3
Cody Core (FA),0.0,0.0%,2017,3
Alex Erickson (FA),0.0,0.0%,2017,3
Max McCaffrey (FA),0.0,0.0%,2017,3
Tavon Austin (FA),-0.6,0.1%,2017,3
Pharoh Cooper (FA),-1.6,0.0%,2017,3
Eli Rogers (FA),-2.0,0.0%,2017,3
Jordy Nelson (FA),19.5,0.1%,2017,4
Devin Funchess (FA),19.0,0.0%,2017,4
Tyrell Williams (FA),17.5,0.0%,2017,4
DeAndre Hopkins (KC),16.7,81.1%,2017,4
William Fuller V (FA),15.9,0.0%,2017,4
Michael Thomas (FA),14.9,0.7%,2017,4
Keenan Allen (CHI),13.8,84.6%,2017,4
Terrelle Pryor Sr. (FA),13.0,0.0%,2017,4
Mike Evans (TB),12.7,98.6%,2017,4
Johnny Holton (FA),12.4,0.0%,2017,4
A.J. Green (FA),12.3,0.6%,2017,4
Chris Hogan (FA),12.0,0.0%,2017,4
Cooper Kupp (LAR),12.0,96.0%,2017,4
Mike Wallace (FA),11.5,0.0%,2017,4
Kendall Wright (FA),11.1,0.0%,2017,4
JuJu Smith-Schuster (KC),10.7,3.8%,2017,4
Jaron Brown (FA),10.5,0.0%,2017,4
Kelvin Benjamin (FA),10.4,0.1%,2017,4
Randall Cobb (FA),10.4,0.0%,2017,4
Danny Amendola (FA),10.2,0.0%,2017,4
Stefon Diggs (HOU),9.8,37.5%,2017,4
Dez Bryant (FA),9.8,2.6%,2017,4
Larry Fitzgerald (FA),9.2,0.2%,2017,4
Tyler Lockett (SEA),9.1,46.2%,2017,4
Donte Moncrief (FA),9.0,0.0%,2017,4
Odell Beckham Jr. (FA),9.0,2.6%,2017,4
Alshon Jeffery (FA),8.9,0.0%,2017,4
Ryan Grant (FA),7.6,0.0%,2017,4
Davante Adams (NYJ),7.3,98.9%,2017,4
Justin Hardy (FA),7.2,0.0%,2017,4
Brice Butler (FA),7.2,0.0%,2017,4
Jordan Matthews (CAR),7.0,0.0%,2017,4
Adam Humphries (FA),7.0,0.0%,2017,4
Albert Wilson (FA),6.9,0.0%,2017,4
DeVante Parker (FA),6.9,0.0%,2017,4
Paul Richardson Jr. (FA),6.5,0.0%,2017,4
Ricardo Louis (FA),6.4,0.0%,2017,4
Robbie Chosen (FA),5.9,0.0%,2017,4
Nelson Agholor (BAL),5.8,0.4%,2017,4
Bruce Ellington (FA),5.7,0.0%,2017,4
Doug Baldwin (FA),5.5,0.0%,2017,4
Sterling Shepard (TB),5.4,6.4%,2017,4
T.J. Jones (FA),5.3,0.0%,2017,4
Kenny Britt (FA),5.2,0.0%,2017,4
Aldrick Robinson (FA),5.2,0.0%,2017,4
Seth Roberts (FA),4.9,0.0%,2017,4
Rishard Matthews (FA),4.9,0.0%,2017,4
Martavis Bryant (FA),4.8,0.0%,2017,4
John Brown (FA),4.7,0.0%,2017,4
Trent Taylor (SF),4.7,0.0%,2017,4
Brandon Marshall (FA),4.6,2.6%,2017,4
Tavon Austin (FA),4.6,0.1%,2017,4
Deonte Thompson (FA),4.4,0.0%,2017,4
Brandin Cooks (DAL),4.2,25.4%,2017,4
Allen Hurns (FA),4.2,0.0%,2017,4
Marvin Jones Jr. (FA),4.2,0.0%,2017,4
Jarvis Landry (FA),4.0,7.1%,2017,4
Adam Thielen (CAR),3.9,70.1%,2017,4
Jeremy Kerley (FA),3.7,0.0%,2017,4
Josh Bellamy (FA),3.6,0.0%,2017,4
Pierre Garcon (FA),3.6,0.0%,2017,4
Bennie Fowler III (FA),3.5,0.0%,2017,4
Tyreek Hill (MIA),3.5,99.2%,2017,4
Terrance Williams (FA),3.4,0.0%,2017,4
Ted Ginn Jr. (FA),3.4,0.0%,2017,4
J.J. Nelson (FA),3.4,0.0%,2017,4
Antonio Brown (FA),3.4,1.3%,2017,4
Brandon Coleman (FA),3.1,0.0%,2017,4
